Id,Extref_Id,Type,Label
0,304586,0,Gottfried Vossen
1,304586,0,Mathias Weske
2,conf/sigmod/VossenW99,0,Mathias Weske
3,conf/sigmod/VossenW99,0,Gottfried Vossen
4,304587,0,Isabel F. Cruz
5,304587,0,Kimberly M. James
6,conf/sigmod/CruzJ99,0,Kimberly M. James
7,conf/sigmod/CruzJ99,0,Isabel F. Cruz
8,304589,0,Athman Bouguettaya
9,304589,0,Boualem Benatallah
10,304589,0,Lily Hendra
11,304589,0,James Beard
12,304589,0,Kevin Smith
13,304589,0,Mourad Quzzani
14,conf/sigmod/BouguettayaBH99,0,Kevin Smith
15,conf/sigmod/BouguettayaBH99,0,Athman Bouguettaya
16,conf/sigmod/BouguettayaBH99,0,Mourad Ouzzani
17,conf/sigmod/BouguettayaBH99,0,James Beard
18,conf/sigmod/BouguettayaBH99,0,Lily Hendra
19,conf/sigmod/BouguettayaBH99,0,Boualem Benatallah
20,304590,0,Chaitan Baru
21,304590,0,Amarnath Gupta
22,304590,0,Bertram Lud&#228;scher
23,304590,0,Richard Marciano
24,304590,0,Yannis Papakonstantinou
25,304590,0,Pavel Velikhov
26,304590,0,Vincent Chu
27,conf/sigmod/BaruGLMPVC99,0,Yannis Papakonstantinou
28,conf/sigmod/BaruGLMPVC99,0,Richard Marciano
29,conf/sigmod/BaruGLMPVC99,0,Chaitanya K. Baru
30,conf/sigmod/BaruGLMPVC99,0,Pavel Velikhov
31,conf/sigmod/BaruGLMPVC99,0,Vincent Chu
32,conf/sigmod/BaruGLMPVC99,0,Amarnath Gupta
33,conf/sigmod/BaruGLMPVC99,0,Bertram Ludäscher
34,304582,0,Alexander Brodsky
35,304582,0,Victor E. Segal
36,304582,0,Jia Chen
37,304582,0,Paval A. Exarkhopoulo
38,conf/sigmod/BrodskySCE99,0,Alexander Brodsky
39,conf/sigmod/BrodskySCE99,0,Pavel A. Exarkhopoulo
40,conf/sigmod/BrodskySCE99,0,Victor E. Segal
41,conf/sigmod/BrodskySCE99,0,Jia Chen
42,304583,0,Phillippe Bonnet
43,304583,0,Kyle Buza
44,304583,0,Zhiyuan Chan
45,304583,0,Victor Cheng
46,304583,0,Randolph Chung
47,304583,0,Takako Hickey
48,304583,0,Ryan Kennedy
49,304583,0,Daniel Mahashin
50,304583,0,Tobias Mayr
51,304583,0,Ivan Oprencak
52,304583,0,Praveen Seshadri
53,304583,0,Hubert Siu
54,conf/sigmod/BonnetBCCCHKMMOSS99,0,Zhiyuan Chen
55,conf/sigmod/BonnetBCCCHKMMOSS99,0,Daniel Mahashin
56,conf/sigmod/BonnetBCCCHKMMOSS99,0,Victor Cheng
57,conf/sigmod/BonnetBCCCHKMMOSS99,0,Kyle Buza
58,conf/sigmod/BonnetBCCCHKMMOSS99,0,Tobias Mayr
59,conf/sigmod/BonnetBCCCHKMMOSS99,0,Hubert Siu
60,conf/sigmod/BonnetBCCCHKMMOSS99,0,Randolph Chung
61,conf/sigmod/BonnetBCCCHKMMOSS99,0,Ivan Oprencak
62,conf/sigmod/BonnetBCCCHKMMOSS99,0,Philippe Bonnet
63,conf/sigmod/BonnetBCCCHKMMOSS99,0,Takako M. Hickey
64,conf/sigmod/BonnetBCCCHKMMOSS99,0,Praveen Seshadri
65,conf/sigmod/BonnetBCCCHKMMOSS99,0,Ryan Kennedy
66,304584,0,Nick Roussopoulos
67,304584,0,Yannis Kotidis
68,304584,0,Yannis Sismanis
69,conf/sigmod/RoussopoulosKS99,0,Yannis Sismanis
70,conf/sigmod/RoussopoulosKS99,0,Yannis Kotidis
71,conf/sigmod/RoussopoulosKS99,0,Nick Roussopoulos
72,304585,0,Michael B&#246;hlen
73,304585,0,Linas Bukauskas
74,304585,0,Curtis Dyreson
75,conf/sigmod/BohlenBD99,0,Linas Bukauskas
76,conf/sigmod/BohlenBD99,0,Curtis E. Dyreson
77,conf/sigmod/BohlenBD99,0,Michael H. Böhlen
78,306112,0,N. R. Jennings
79,306112,0,T. J. Norman
80,306112,0,P. Faratin
81,journals/sigmod/JenningsNF98,0,Timothy J. Norman
82,journals/sigmod/JenningsNF98,0,Nicholas R. Jennings
83,journals/sigmod/JenningsNF98,0,Peyman Faratin
84,306115,0,Benny Reich
85,306115,0,Israel Ben-Shaul
86,journals/sigmod/ReichB98,0,Israel Ben-Shaul
87,journals/sigmod/ReichB98,0,Benny Reich
88,306119,0,Susanne Boll
89,306119,0,Wolfgang Klas
90,306119,0,Bernard Battaglin
91,journals/sigmod/BollKB98,0,Wolfgang Klas
92,journals/sigmod/BollKB98,0,Susanne Boll
93,journals/sigmod/BollKB98,0,Bernard Battaglin
94,306124,0,Alex G. B&#252;chner
95,306124,0,Maurice D. Mulvenna
96,journals/sigmod/BuchnerM98,0,Alex G. Büchner
97,journals/sigmod/BuchnerM98,0,Maurice D. Mulvenna
98,306102,0,Martin Bichler
99,306102,0,Arie Segev
100,306102,0,J. Leon Zhao
101,journals/sigmod/BichlerSZ98,0,Martin Bichler
102,journals/sigmod/BichlerSZ98,0,Arie Segev
103,journals/sigmod/BichlerSZ98,0,J. Leon Zhao
104,306103,0,Sherif Danish
105,journals/sigmod/Danish98,0,Sherif Danish
106,306105,0,Bart Meltzer
107,306105,0,Robert Glushko
108,journals/sigmod/MeltzerC98,0,Robert J. Glushko
109,journals/sigmod/MeltzerC98,0,Bart Meltzer
110,306109,0,Asuman Dogac
111,306109,0,Ilker Durusoy
112,306109,0,Sena Arpinar
113,306109,0,Nesime Tatbul
114,306109,0,Pinar Koksal
115,306109,0,Ibrahim Cingil
116,306109,0,Nazife Dimililer
117,journals/sigmod/DogacDATKCD98,0,Ibrahim Cingil
118,journals/sigmod/DogacDATKCD98,0,Nazife Dimililer
119,journals/sigmod/DogacDATKCD98,0,Nesime Tatbul
120,journals/sigmod/DogacDATKCD98,0,Ilker Durusoy
121,journals/sigmod/DogacDATKCD98,0,Asuman Dogac
122,journals/sigmod/DogacDATKCD98,0,Pinar Koksal
123,journals/sigmod/DogacDATKCD98,0,Sena Nural Arpinar
124,304571,0,Mehmet Altinel
125,304571,0,Demet Aksoy
126,304571,0,Thomas Baby
127,304571,0,Michael Franklin
128,304571,0,William Shapiro
129,304571,0,Stan Zdonik
130,conf/sigmod/AltinelABFSZ99,0,Demet Aksoy
131,conf/sigmod/AltinelABFSZ99,0,Mehmet Altinel
132,conf/sigmod/AltinelABFSZ99,0,Stanley B. Zdonik
133,conf/sigmod/AltinelABFSZ99,0,Thomas Baby
134,conf/sigmod/AltinelABFSZ99,0,William Shapiro
135,conf/sigmod/AltinelABFSZ99,0,Michael J. Franklin
136,304573,0,Reinhard Braumandl
137,304573,0,Alfons Kemper
138,304573,0,Donald Kossmann
139,conf/sigmod/BraumandlKK99,0,Reinhard Braumandl
140,conf/sigmod/BraumandlKK99,0,Alfons Kemper
141,conf/sigmod/BraumandlKK99,0,Donald Kossmann
142,304572,0,Ouri Wolfson
143,304572,0,Prasad Sistla
144,304572,0,Bo Xu
145,304572,0,Jutai Zhou
146,304572,0,Sam Chamberlain
147,conf/sigmod/WolfsonSXZC99,0,Jutai Zhou
148,conf/sigmod/WolfsonSXZC99,0,Ouri Wolfson
149,conf/sigmod/WolfsonSXZC99,0,Sam Chamberlain
150,conf/sigmod/WolfsonSXZC99,0,A. Prasad Sistla
151,conf/sigmod/WolfsonSXZC99,0,Bo Xu
152,304250,0,Lyman Do
153,304250,0,Prabhu Ram
154,304250,0,Pamela Drew
155,conf/sigmod/DoRD99,0,Lyman Do
