filmid,personid
18,1
19,1
20,1
21,2
22,3
23,5
32,6
24,7
25,8
26,9
27,10
28,11
29,12
30,13
31,14
32,15
33,15
34,16
35,17
36,17
37,18
38,18
37,19
39,20
40,21
41,22
42,22
43,22
44,23
45,24
46,25
47,26
48,26
49,26
50,27
51,28
52,30
53,30
54,30
55,30
56,30
57,30
58,31
59,32
60,33
60,33
61,33
62,33
63,34
64,35
34,36
65,36
66,36
67,37
68,38
69,38
70,38
71,38
72,40
73,41
74,41
21,42
23,43
49,44
38,45
46,46
59,48
47,50
51,51
45,54
46,57
35,60
26,62
28,64
73,65
47,67
64,71
44,72
21,73
28,75
23,77
34,78
58,80
68,81
18,87
62,88
30,90
33,95
22,96
54,98
63,99
64,101
56,104
32,105
60,113
69,118
51,120
74,121
65,123
39,127
31,129
31,130
29,131
59,132
55,138
33,141
39,142
20,147
41,151
42,151
18,153
61,155
72,158
48,162
25,163
52,165
67,166
67,166
19,168
25,169
53,172
40,174
69,177
71,180
65,182
30,183
44,184
22,185
61,186
72,190
66,192
70,193
43,194
27,196
73,197
54,202
45,205
24,206
41,208
26,215
50,216
50,218
63,220
62,225
35,227
36,227
37,231
24,232
48,235
70,237
19,242
55,244
58,246
42,247
43,247
27,248
66,252
53,253
52,254
36,259
40,263
68,265
74,266
56,267
57,267
49,269
71,270
38,271
57,277
29,278
20,279
