id,filmtitle,year,genre,foreign
18,Click,2006,Romance,false
19,Funny People,2009,Drama,false
20,Mr. Deeds,2002,Romance,false
21,The Vicious Kind,2009,Drama,false
22,One Dark Night,1983,Horror,false
23,At The Tattooist,2010,Other,false
24,Baana Kaathadi,2010,Thriller,false
25,Friends and Lovers,1931,Romance,false
26,Here We for Example...,1977,Comedy,false
27,Unholy,2007,Thriller,false
28,Dementia,1955,Horror,false
29,The Big Chance,1957,Crime,false
30,The Career of a Chambermaid,1976,Romance,false
31,The Soul Guardians,1998,Thriller,true
32,Crusoe,1988,Drama,false
33,Reckless,1984,Romance,false
34,Annie,1982,Music,false
35,Kino no Tabi: The Beautiful World,2007,Fantasy,false
36,Kino's Journey: Life Goes On,2005,Fantasy,false
37,Hum Dil De Chuke Sanam,1999,Romance,false
38,Kyun...! Ho Gaya Na,2004,Romance,true
39,Wild Roomies,2004,Romance,false
40,The Nude Princess,1976,Drama,false
41,Raja,2002,Drama,false
42,Vaali,1999,Romance,false
43,Unnai Kodu Ennai Tharuven,2000,Romance,false
44,Search for the Jewel of Polaris: Mysterious Museum,1999,Fantasy,false
45,The Microchip,2011,Comedy,false
46,Short Kut - The Con is On,2009,Other,false
47,Humko Deewana Kar Gaye,2006,Romance,true
48,Blue,2009,Thriller,true
49,Bhool Bhulaiyaa,2007,Thriller,false
50,Popi,1969,Drama,false
51,The Return of the Soldier,1982,Drama,false
52,The Red Beret,1953,War,false
53,And Now Tomorrow,1944,Other,false
54,The Proud Rebel,1958,Western,false
55,Saskatchewan,1954,Western,false
56,Saigon,1948,Drama,false
57,The Blue Dahlia,1946,Drama,false
58,Snow Cake,2006,Romance,false
59,Casino Raiders,1989,Thriller,true
60,The Belles of St. Trinian's,1954,Foreign,true
61,Scrooge,1951,Fantasy,false
62,Innocents in Paris,1953,Other,false
63,Mother,1996,Comedy,false
64,Gammera the Invincible,1966,ScienceFiction,true
65,The Browning Version,1994,Foreign,true
66,Night Must Fall,1964,Thriller,false
67,Il mostro di Firenze,1986,Thriller,true
68,Catherine and I,1980,Comedy,true
69,Buonanotte... avvocato!,1955,Other,true
70,Il medico della mutua,1968,Comedy,true
71,The Moralist,1959,Comedy,true
72,The Getaway,1994,Thriller,false
73,The Scapegoat,1959,Thriller,false
74,The Card,1952,Romance,false
