filmid,personid
18,109
18,181
18,251
19,149
20,135
20,245
20,256
21,139
21,164
22,189
22,262
22,264
23,140
23,250
24,282
24,61
25,137
25,268
25,274
26,119
26,229
26,241
27,159
27,233
27,94
28,146
28,75
29,204
29,63
30,102
30,226
31,161
31,280
32,275
32,76
32,92
33,136
33,239
33,86
34,145
34,261
34,79
35,157
35,228
35,281
36,230
36,255
37,236
38,234
38,243
38,69
39,154
39,187
39,201
40,53
40,82
41,108
41,260
42,249
42,273
42,68
43,156
43,213
43,238
44,272
44,4
44,97
45,160
45,85
46,195
46,209
46,50
47,126
47,210
48,100
48,52
48,56
49,176
49,207
49,66
50,103
50,124
50,58
51,128
51,214
51,29
52,133
52,258
52,39
53,111
53,134
53,212
54,148
54,170
54,188
55,115
55,211
56,150
56,167
56,59
57,114
57,171
57,212
58,178
58,49
58,74
59,143
59,91
60,110
61,199
61,70
61,84
62,122
62,47
63,125
63,179
63,239
64,198
64,200
64,217
65,191
65,223
65,257
66,106
66,152
66,89
67,112
67,83
68,221
68,38
69,116
69,117
69,226
70,175
70,240
71,116
71,173
71,203
72,144
72,222
72,276
73,219
73,93
74,107
74,224
74,55
